Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3,Ort,technische Anlagen und Maschinen 2021/22,Maschinen_Park_Size,Maschinen_Park_var,hours_of_saving
Ottmar Buchberger GmbH,https://www.buchberger-gmbh.de,True,Bohrungen,Drehteile,Frästeile,Drehmaschinen,Erodiermaschinen,Fräsmaschinen,Bohrungen,Drehungen,Fräsungen,Tuchenbach,7202569.0,200-350,200,75000
DELO Industrie Klebstoffe GmbH & Co.,https://www.delo.de,False,Aushärtesysteme,Dosiersysteme,Klebstoffe,,,,,,,Windach,9286351.0,200-350,200,75000
Stemmann-Technik GmbH,https://www.stemmann.com/de/,False,Leitungstrommeln,Leitungswagensysteme,Schleifringübertrager,,,,,,,Schüttorf,1838262.0,80-120,80,30000
MPT Präzisionsteile GmbH Mittweida,https://www.mpt-group.com,True,CNC-Bearbeitungen,Gusskompetenzen,Umformtechnologien,CNC-Drehmaschinen,CNC-Fräsmaschinen,Pressen,Bohrungen,Drehungen,Fräsungen,Mittweida,3530372.0,120-200,120,45000
Harald Böhl GmbH,https://www.haboe.de,True,Baugruppen,Drehteile,Frästeile,Bearbeitungszentren,Dreh-Fräszentren,Drehmaschinen,Drehungen,Fräsungen,Montagen,Rosenthal,2856898.0,120-200,120,45000
Hutzel Seidewitztal GmbH,https://www.hutzeltechnics.de,True,Komponenten,Medizinprodukte,Präzisionsteile,CNC-Maschinen,Fräsmaschinen,Schleifmaschinen,Drehungen,Fräsungen,Schleifungen,Liebstadt,5679364.0,200-350,200,75000
Otto SPANNER GmbH,https://www.spanner.de,True,Baugruppen,Blechteile,Platinen,Biegemaschinen,Laserschneidemaschinen,Pressen,Biegen,Laserschneiden,Pressen,Bayerbach b.Ergoldsbach,3869899.0,120-200,120,45000
Benninger AG,https://www.benningergroup.com/de/,False,Anlagen,Lösungen,Textilmaschinen,Bleichmaschinen,Färbemaschinen,Waschmaschinen,Bleichungen,Färbungen,Waschungen,Zittau,232261.0,No Match,,
Langenbach & Köster GmbH & Co. KG,https://langenbachkoester.com,False,Baugruppenteile,Schmiedeteile,Stanzteile,Schmiedemaschinen,Stanzmaschinen,Umformmaschinen,Präzisionsfertigungen,Warmumformungen,spanabhebende Nachbearbeitungen,Plettenberg,706683.0,15-20,15,5625
KEHREN GmbH,https://www.kehren.com,True,Rundtisch-Flachschleifmaschinen,Schleifspindeln,Vertikalschleifzentren,Schleifmaschinen,Schleifspindeln,Schleifzentren,Schleifen,,,Troisdorf,134146.0,No Match,,
FRANK GmbH,https://www.frank-gmbh.de/de/,False,Armaturen,Behälter,Rohrsysteme,,,,,,,Mörfelden-Walldorf,596412.0,10-15,10,3750
NTN Kugellagerfabrik (Deutschland) GmbH,https://www.ntn-snr.com,False,Lager,Linearmodule,Roller,,,,,,,Mettmann,213519.0,No Match,,
CONSTAB Polyolefin Additives GmbH,https://constab.com,True,Additive,Masterbatches,Verbindungen,,,,,,,Rüthen,4164747.0,120-200,120,45000
JVK Filtration Systems GmbH,https://www.jvk.de,False,Kammerplatten,Membranplatten,spezielle Filterelemente,,,,,,,Georgensgmünd,2370468.0,80-120,80,30000
